year_listed,year_sold,days_on_market,city_frequency,state_frequency,description_year_built,description_stories,description_baths,description_beds,description_garage,description_sqft,central_air,community_outdoor_space,basement,fireplace,hardwood_floors,recreation_facilities,community_security_features,view,central_heat,city_view,fenced_yard
-0.0898505680996329,-1.3613439800452625,-0.6601234616525845,0.2039276951823848,-0.2206768535827773,0.9885231915283836,0.667419601175585,0.6910836809129486,0.5899956134565111,0.7226324411630538,1.4659547531759127,0,0,0,1,0,1,0,1,0,1,0
-0.0898505680996329,-1.3613439800452625,-0.823337222703675,0.2039276951823848,-0.2206768535827773,0.9885231915283836,0.667419601175585,0.6910836809129486,-0.2184704291626629,0.7226324411630538,0.7680878463134873,1,0,0,0,0,1,0,0,0,0,0
-0.0898505680996329,0.7345682022016621,0.8994746995022809,0.479960761077393,0.09707386628696199,0.25741921351323493,-0.9014859855378404,-1.3693779744725845,-0.2184704291626629,0.7226324411630538,-0.9143664795331353,0,1,0,0,0,0,0,0,1,0,1
-0.0898505680996329,-1.3613439800452625,-0.22488676551634296,0.7308999118910369,0.4942622661241361,0.9885231915283836,-0.9014859855378404,-0.3391471467798179,-1.0269364717818368,-0.12078151539232414,-0.9370877276635399,1,1,0,1,0,1,1,1,0,1,0
-0.0898505680996329,0.7345682022016621,-0.04353814212624234,-0.373232351688996,-1.0944913332245603,1.2978364129963311,-0.9014859855378404,1.721314508605715,0.5899956134565111,1.5660463977184318,1.7786424060181467,0,1,0,1,1,0,1,0,0,0,0
-0.0898505680996329,0.7345682022016621,0.8269352501462407,-0.373232351688996,-1.0944913332245603,0.9041650402189434,0.667419601175585,0.6910836809129486,0.5899956134565111,0.7226324411630538,0.49218697615857493,0,1,0,1,1,1,1,0,0,0,1
-0.0898505680996329,-1.3613439800452625,0.66372148909515,-3.058281265394985,-2.524369572638387,0.48237428367174223,0.667419601175585,0.6910836809129486,0.5899956134565111,0.7226324411630538,0.06913897525437593,1,1,1,1,1,0,0,0,0,0,1
-0.0898505680996329,0.7345682022016621,0.30102424231494884,-0.17248103103808096,-0.06180149364790765,0.9885231915283836,0.667419601175585,0.6910836809129486,-0.2184704291626629,-0.12078151539232414,-0.308466529389014,1,1,0,1,0,0,1,0,0,0,0
-0.0898505680996329,0.7345682022016621,0.10154075658583817,0.4548668459960286,0.05735502630324458,1.2697170292265179,0.667419601175585,0.6910836809129486,-0.2184704291626629,-0.12078151539232414,0.5571048279597308,1,0,1,0,0,0,0,0,0,0,0
-0.0898505680996329,0.7345682022016621,-0.33369593955040333,0.605430336484215,0.8914506659613102,-0.13625215926415282,-0.9014859855378404,-0.3391471467798179,-0.2184704291626629,0.7226324411630538,-0.46535133790847394,1,0,0,0,0,0,1,0,1,0,0
